No,イベント,グループ名,X URL
1,NEO IDOL LEGION (5/6),RES0NANCE,https://x.com/__res0nance__
2,NEO IDOL LEGION (5/6),Sha☆in,https://x.com/shain_official
3,NEO IDOL LEGION (5/6),ATLEPY,https://x.com/ATLEPY_JFP
4,NEO IDOL LEGION (5/6),岩村華,https://x.com/hana_iwm39
5,NEO IDOL LEGION (5/6),starry=cinderella,https://x.com/stcn_official
6,NEO IDOL LEGION (5/6),SeedS,https://x.com/seeds_0303
7,NEO IDOL LEGION (5/6),未完成カラット,不明
8,NEO IDOL LEGION (5/6),らいあ→ちゅ→ん,https://x.com/Liartune_staff
9,NEO IDOL LEGION (5/6),Clapotis,https://x.com/clapotisr
10,NEO IDOL LEGION (5/6),朝凪,https://x.com/ASANAGI_info
11,NEO IDOL LEGION (5/6),あいむふろむ！,https://x.com/Imfrom_idol
12,NEO IDOL LEGION (5/6),Mikoto,https://x.com/Mikoto_staff
13,NEO IDOL LEGION (5/6),idoress,https://x.com/idoress_info
14,NEO IDOL LEGION (5/6),Fancy Film*,https://x.com/FancyFilm_info
15,NEO IDOL LEGION (5/6),Rays-Me!,不明
16,NEO IDOL LEGION (5/6),アイドルキャリア,https://x.com/idolcareer25
17,NEO IDOL LEGION (5/6),THAT's So,https://x.com/gothatsso
18,NEO IDOL LEGION (5/6),煌きメリー☆ポップ,https://x.com/meribo_01
19,NEO IDOL LEGION (5/6),きみはれ,不明
20,NEO IDOL LEGION (5/6),ToyTicTrap,https://x.com/ToyTicTrap
21,NEO IDOL LEGION (5/6),レプスルプス,https://x.com/lepuslupuslive
22,NEO IDOL LEGION (5/6),Newヒロイン,https://x.com/newheroine_25
23,NEO IDOL LEGION (5/6),Starlight Garden,不明
24,NEO IDOL LEGION (5/6),ステラキャプチャー,https://x.com/stella_capture
25,NEO IDOL LEGION (5/6),FEAM,https://x.com/feam_japan
26,NEO IDOL LEGION (5/6),VelvetPlunder,不明
27,NEO IDOL LEGION (5/6),si7ria,https://x.com/si7ria_official
28,NEO IDOL LEGION (5/6),C-Rings,https://x.com/_C_Rings_
29,NEO IDOL LEGION (5/6),WONDARIA,https://x.com/WONDARIA_info
30,NEO IDOL LEGION (5/6),Tiara Palette,https://x.com/tiara_palette
31,NEO IDOL LEGION (5/6),てんしろっ！,https://x.com/tenshiro0708
32,NEO IDOL LEGION (5/6),TJP,https://x.com/TJP_info
33,NEO IDOL LEGION (5/6),めいどinみんな！,https://x.com/meimii_official
34,NEO IDOL LEGION (5/6),8DOLL,https://x.com/8DOLL_
35,NEO IDOL LEGION (5/6),BabyDoll,https://x.com/babydoll_of__
36,NEO IDOL LEGION (5/6),ぷれしゃす♡ぱーてぃー,https://x.com/prepa_official
37,NEO IDOL LEGION (5/6),依依≠恋恋,https://x.com/iirenren_info
38,NEO IDOL LEGION (5/6),わんみゅー♡,https://x.com/onemuseofficial
39,NEO IDOL LEGION (5/6),8ANGEL,https://x.com/_8ANGEL_
40,NEO IDOL LEGION (5/6),青春のフロンティア,https://x.com/FRONTIERofYOUTH
41,NEO IDOL LEGION (5/6),FLORE RISA,https://x.com/FLORE_RISA
42,NEO IDOL LEGION (5/6),8WIZARD,https://x.com/8WIZARD_
43,NEO IDOL LEGION (5/6),FIRST DREAM,https://x.com/FIRSTDREAM_BTE
44,NEO IDOL LEGION (5/6),にゃんすきっ♡？,https://x.com/__nyan_suki
45,NEO IDOL LEGION (5/6),みらくる🌙ふぁーぜ-ZERO,https://x.com/miracleforz
46,NEO IDOL LEGION (5/6),8FLAG,https://x.com/8FLAG_
47,NEO IDOL LEGION (5/6),Crazy Fantasy,https://x.com/CF_official01
48,NEO IDOL LEGION (5/6),放課後の一番星,不明
49,ふわふわパラダイス (5/16),雨宮るか,不明
50,ふわふわパラダイス (5/16),HUSHHUSH,https://x.com/HUSHHUSHU
51,ふわふわパラダイス (5/16),鐘日乙女個色,https://x.com/RenKoi_staff
52,ふわふわパラダイス (5/16),*青空ダイアリー*,不明
53,ふわふわパラダイス (5/16),#ヒトメボレ,https://x.com/hitomebore716
54,ふわふわパラダイス (5/16),擬人化にゃんた,https://x.com/nyanta_info
55,ふわふわパラダイス (5/16),まかろんぱぁてぃ,https://x.com/macaronpartyOO
56,ふわふわパラダイス (5/16),HEROINE CIRCUS,https://x.com/heroine_circus
57,ふわふわパラダイス (5/16),TheHighRoller,https://x.com/thehighroller63
58,ふわふわパラダイス (5/16),きみゆにっ！,https://x.com/kimiuni_info
59,ふわふわパラダイス (5/16),Everglitch,https://x.com/everglitchjp
60,ふわふわパラダイス (5/16),Tri♡pop,不明
61,ふわふわパラダイス (5/16),プリンセスは眠らないっ！,https://x.com/princess_dns
